Round,Player,Team,POS1,POS2, Price , Priced at ,, Projection , Diff 
1,Ativalu Lisati,BYE,EDG,," 350,000 ", 26 ,,,
1,Beau Fermor,GLD,EDG,CTR," 665,000 ", 49 ,, 51 , 2 
1,Trai Fuller,DOL,WFB,," 665,000 ", 49 ,,,
1,Mitchell Moses,PAR,HLF,," 700,000 ", 52 ,, 45 , (6)
1,Thomas Flegler,DOL,MID,," 644,000 ", 48 ,,,
1,Jackson Hastings,NEW,HLF,," 642,000 ", 48 ,,,
1,Jacob Kiraz,CBY,CTR,WFB," 641,000 ", 47 ,, 48 , 1 
1,Nat Butcher,SYD,MID,EDG," 638,000 ", 47 ,, 38 , (9)
1,Keano Kini,GLD,WFB,," 654,000 ", 48 ,, 51 , 3 
1,Tom Eisenhuth,SGI,MID,EDG," 616,000 ", 46 ,,,
1,Josh Curran,CBY,MID,EDG," 600,000 ", 44 ,, 37 , (7)
1,Apisai Koroisau,WST,HOK,," 593,000 ", 44 ,, 53 , 9 
1,Bryce Cartwright,PAR,EDG,," 590,000 ", 44 ,,,
1,Jaimin Jolliffe,GLD,MID,," 589,000 ", 44 ,, 31 , (13)
1,Brad Schneider,PEN,HLF,," 550,000 ", 41 ,,,
1,Chris Randall,GLD,HOK,MID," 577,000 ", 43 ,, 33 , (10)
1,Te Maire Martin,WAR,HLF,," 576,000 ", 43 ,,,
1,Sam Walker,SYD,HLF,," 573,000 ", 42 ,,,
1,Ryan Matterson,PAR,MID,EDG," 567,000 ", 42 ,, 43 , 1 
1,Liam Ison,CRO,WFB,," 350,000 ", 26 ,,,
1,Moeaki Fotuaika,GLD,MID,," 550,000 ", 41 ,, 43 , 2 
1,Reagan Campbell-Gillard,GLD,MID,," 534,000 ", 40 ,, 34 , (6)
1,Phillip Sami,GLD,CTR,WFB," 533,000 ", 39 ,, 37 , (2)
1,Jake Clifford,NQL,HLF,," 525,000 ", 39 ,,,
1,Shaun Lane,PAR,EDG,," 523,000 ", 39 ,, 42 , 4 
1,Toby Rudolf,CRO,MID,," 525,000 ", 39 ,,,
1,Brian Kelly,GLD,CTR,," 515,000 ", 38 ,, 40 , 2 
1,Tino Fa'asuamaleaui,GLD,MID,," 700,000 ", 52 ,, 53 , 2 
1,Kieran Foran,GLD,HLF,," 509,000 ", 38 ,,,
1,Jock Madden,BRI,HLF,," 450,000 ", 33 ,,,
1,Jahream Bula,WST,WFB,," 525,000 ", 39 ,, 38 , (1)
1,Tyson Gamble,NEW,HLF,," 502,000 ", 37 ,,,
1,Kotoni Staggs,BRI,CTR,," 525,000 ", 39 ,, 40 , 2 
1,Sam Verrills,GLD,HOK,," 496,000 ", 37 ,, 34 , (2)
1,Tanah Boyd,WAR,HLF,," 497,000 ", 37 ,,,
1,Sione Katoa,CRO,WFB,," 491,000 ", 36 ,,,
1,Klese Haas,GLD,MID,EDG," 488,000 ", 36 ,, 33 , (3)
1,Jojo Fifita,GLD,CTR,WFB," 483,000 ", 36 ,, 40 , 4 
1,AJ Brimson,GLD,WFB,," 482,000 ", 36 ,, 46 , 10 
1,Dallin Watene-Zelezniak,WAR,WFB,," 477,000 ", 35 ,,,
1,Asu Kepaoa,PEN,CTR,," 400,000 ", 30 ,,,
1,Josh Addo-Carr,PAR,WFB,," 468,000 ", 35 ,, 37 , 3 
1,Sione Finau,SGI,WFB,," 350,000 ", 26 ,,,
1,Brandon Smith,SYD,HOK,MID," 465,000 ", 34 ,,,
1,Tommy Talau,MAN,CTR,WFB," 465,000 ", 34 ,,,
1,Spencer Leniu,SYD,MID,," 459,000 ", 34 ,, 39 , 5 
1,Thomas Cant,NEW,EDG,," 458,000 ", 34 ,,,
1,Blaize Talagi,PEN,WFB,," 458,000 ", 34 ,,,
1,Christian Welch,BYE,MID,," 456,000 ", 34 ,,,
1,Mawene Hiroti,CRO,WFB,," 350,000 ", 26 ,,,
1,Ethan Sanders,CAN,HLF,," 350,000 ", 26 ,,,
