name,price,Proj,$/pt,OVERDIFF,BE,weekdiff,name,,,
siosifa talakai,$322 ,25.6,24,1.9,10,15.6,siosifa,talakai,siosifa talakai,Siosifa Talakai
toby rudolf,$358 ,30.6,26,4.3,30,0.6,toby,rudolf,toby rudolf,Toby Rudolf
jesse colqhoun,$306 ,16.5,23,-6,5,11.5,jesse,colqhoun,jesse colqhoun,jesse colquhoun
daniel atkinson,$230 ,13.3,17,-3.6,89,-75.7,daniel,atkinson,daniel atkinson,Daniel Atkinson
latrell mitchell,$718 ,58.9,53,6.1,49,9.9,latrell,mitchell,latrell mitchell,Latrell Mitchell
isiaiah tass,$306 ,23.7,23,1.2,33,-9.3,isiaiah,tass,isiaiah tass,Isaiah Tass
campbell graham rd17,$465 ,41.1,34,6.9,32,9.1,campbell,graham,campbell graham,Campbell Graham
jack wighton,$402 ,34,30,4.4,31,3,jack,wighton,jack wighton,Jack Wighton
ALEX JOHNSTON,$476 ,32.4,35,-2.6,15,17.4,ALEX,JOHNSTON,ALEX JOHNSTON,Alex Johnston
CODY WALKER rd17,$315 ,38.7,23,15.5,38,0.7,CODY,WALKER,CODY WALKER,Cody Walker
jayden sullivan rd20??,$320 ,26.1,24,2.5,24,2.1,jayden,sullivan,jayden sullivan,jayden sullivan
jai arrow,$567 ,38.5,42,-3.2,33,5.5,jai,arrow,jai arrow,Jai Arrow
peter mamouzelous RD20?,$580 ,35.2,43,-7.4,49,-13.8,peter,mamouzelous,peter mamouzelous,Peter Mamouzelos
keaon koloamatagi,$842 ,59.5,62,-2.4,62,-2.5,keaon,koloamatagi,keaon koloamatagi,Keaon Koloamatangi
tallis duncan,$550 ,45.2,40,4.8,17,28.2,tallis,duncan,tallis duncan,Tallis Duncan
euan aitken,$652 ,53.7,48,5.8,63,-9.3,euan,aitken,euan aitken,Euan Aitken
lachlan hubner,$440 ,32,32,-0.4,37,-5,lachlan,hubner,lachlan hubner,Lachlan Hubner
JAMIE HUMPHREYS,$447 ,25.2,33,-7.6,33,-7.8,JAMIE,HUMPHREYS,JAMIE HUMPHREYS,JAMIE HUMPHREYS
TEVITA TATOLA,$448 ,34.9,33,1.9,41,-6.2,TEVITA,TATOLA,TEVITA TATOLA,Tevita Tatola
sean keppie,$358 ,22.4,26,-3.9,46,-23.6,sean,keppie,sean keppie,Sean Keppie
liam le blanc,$230 ,16.9,17,0,77,-60.1,liam,le,liam le,liam le Blanc
aj brimson,$505 ,40.3,37,3.2,52,-11.7,aj,brimson,aj brimson,AJ Brimson
AKP,$394 ,30.8,29,1.8,-2,32.8,AKP,,AKP,Alofiana Khan-Pereira
phillip sami,$510 ,37.9,38,0.4,40,-2.1,phillip,sami,phillip sami,Phillip Sami
jojo fifita,$474 ,39.5,35,4.6,35,4.5,jojo,fifita,jojo fifita,Jojo Fifita
allan fitzgibbon,$230 ,30,17,13.1,22,8,allan,fitzgibbon,allan fitzgibbon,allan fitzgibbon
jayden campbell rd19?,$677 ,58.9,50,9.2,81,-22.1,jayden,campbell,jayden campbell,Jayden Campbell
kieran foran,$413 ,41.9,30,11.5,30,11.9,kieran,foran,kieran foran,kieran foran
Regan campbell gillard,$426 ,36,31,4.7,36,0,Regan,campbell,Regan campbell,Regan campbell
SAM VERRILLS,$552 ,45.3,41,4.7,47,-1.7,SAM,VERRILLS,SAM VERRILLS,Sam Verrills
MOEAKI FOTUAIKA,$572 ,50.4,42,8.3,52,-1.7,MOEAKI,FOTUAIKA,MOEAKI FOTUAIKA,Moeaki Fotuaika
BEAU FERMOR,$684 ,52.1,50,1.8,52,0.1,BEAU,FERMOR,BEAU FERMOR,Beau Fermor
Chris Randall,$527 ,42.8,39,4,10,32.8,Chris,Randall,Chris Randall,Chris Randall
TINO FA'ASUAMALEAUI,$679 ,56.7,50,6.8,88,-31.3,TINO,FA'ASUAMALEAUI,Tino Fa'asuamaleaui,Tino Fa'asuamaleaui
JAIMIN JOLIFFE,$529 ,39.1,39,0.2,16,23.1,JAIMIN,JOLIFFE,JAIMIN JOLIFFE,Jaimin Jolliffe
jacob alick-wiencke,$242 ,13.5,18,-4.3,28,-14.5,jacob,alick-wiencke,jacob alick-wiencke,jacob alick-wiencke
Klese Haas,$424 ,24,31,-7.2,33,-9,Klese,Haas,Klese Haas,Klese Haas
jaylan de groot rd17,$320 ,6.3,24,-17.2,35,-28.7,jaylan,de,jaylan de,jaylan de
clint gutherson,$525 ,42.7,39,4.1,60,-17.3,clint,gutherson,clint gutherson,Clinton Gutherson
nathan lawson,$266 ,27.7,20,8.1,18,9.7,nathan,lawson,nathan lawson,nathan lawson
valentine holmes,$625 ,46.8,46,0.8,61,-14.2,valentine,holmes,valentine holmes,Valentine Holmes
MOSES SULI,$432 ,37.9,32,6.2,44,-6.1,MOSES,SULI,MOSES SULI,Moses Suli
christian tuipolotu rd18,$494 ,31.6,36,-4.7,70,-38.4,christian,tuipolotu,christian tuipolotu,Christian Tuipulotu
kyle flanagan,$537 ,44.2,39,4.8,26,18.2,kyle,flanagan,kyle flanagan,Kyle Flanagan
Lyhkan King-Togia,$344 ,35.6,25,10.3,13,22.6,Lyhkan,King-Togia,Lyhkan King-Togia,Lyhkan King-Togia
David Klemmer,$473 ,35.3,35,0.5,32,3.3,David,Klemmer,David Klemmer,David Klemmer
damien cook,$619 ,44.1,46,-1.4,36,8.1,damien,cook,damien cook,Damien Cook
emre guler,$417 ,33.1,31,2.5,42,-8.9,emre,guler,emre guler,emre guler
Luciano Leilua,$448 ,34.7,33,1.7,26,8.7,Luciano,Leilua,Luciano Leilua,Luciano Leilua
JADYN SUA rd17,$625 ,50.6,46,4.6,64,-13.4,JADYN,SUA,JADYN SUA,Jaydn Su'A
hamish stewart,$509 ,39.9,37,2.5,56,-16.1,hamish,stewart,hamish stewart,Hamish Stewart
toby couchman,$682 ,53.6,50,3.4,60,-6.5,toby,couchman,toby couchman,Toby Couchman
lolo pacifika-tonga,$306 ,23.8,23,1.3,20,3.8,lolo,pacifika-tonga,lolo pacifika-tonga,loko pasifiki tonga
JACK DE BELIN,$642 ,35.1,47,-12.1,31,4.1,JACK,DE,JACK DE,#N/A
jacob liddle,$550 ,34.2,40,-6.2,43,-8.8,jacob,liddle,jacob liddle,Jacob Liddle
lehi hopoate,$517 ,41.9,38,3.9,48,-6.1,lehi,hopoate,lehi hopoate,Lehi Hopoate
REUBEN GARRICK,$575 ,45.4,42,3.1,33,12.4,REUBEN,GARRICK,REUBEN GARRICK,Reuben Garrick
tom trbojevic,$398 ,44.2,29,15,29,15.2,tom,trbojevic,tom trbojevic,Tom Trbojevic
TOLUTAU KOULA,$516 ,34.8,38,-3.2,33,1.8,TOLUTAU,KOULA,TOLUTAU KOULA,Tolutau Koula
tommy talau??,$360 ,30,26,3.5,23,7,tommy,talau??,tommy talau,tommy talau
LUKE BROOKS,$505 ,36.3,37,-0.8,29,7.3,LUKE,BROOKS,LUKE BROOKS,Luke Brooks
DALY CHERRY-EVANS,$624 ,51.4,46,5.5,51,0.4,DALY,CHERRY-EVANS,DALY CHERRY-EVANS,Daly Cherry-Evans
siosiua taukeaho,$436 ,38.3,32,6.2,40,-1.8,siosiua,taukeaho,siosiua taukeaho,Siosiua Taukeiaho
jake simpkin??,$515 ,41.3,38,3.4,62,-20.8,jake,simpkin??,jake simpkin,jake simpkin
ETHAN BULLEMOR,$461 ,36.5,34,2.6,31,5.5,ETHAN,BULLEMOR,ETHAN BULLEMOR,Ethan Bullemor
HAUMOLE OLAKAUATU RD21,$654 ,50.7,48,2.6,48,2.7,HAUMOLE,OLAKAUATU,HAUMOLE OLAKAUATU,Haumole Olakau'atu
BEN TRBOJEVIC,$516 ,37.4,38,-0.5,52,-14.6,BEN,TRBOJEVIC,BEN TRBOJEVIC,Ben Trbojevic
JAKE TRBOJEVIC,$408 ,39.9,30,9.9,30,9.9,JAKE,TRBOJEVIC,JAKE TRBOJEVIC,JAKE TRBOJEVIC
nathan brown,$405 ,25.7,30,-4.1,17,8.7,nathan,brown,nathan brown,nathan brown
jazz tevaga,$569 ,40.5,42,-1.3,47,-6.5,jazz,tevaga,jazz tevaga,Jazz Tevaga
corey waddell,$437 ,16.5,32,-15.6,40,-23.5,corey,waddell,corey waddell,Corey Waddell
toafofoa sipley,$410 ,26,30,-4.1,25,1,toafofoa,sipley,toafofoa sipley,toafofoa sipley
JAMES TEDESCO,,54.5,0,54.5,,54.5,JAMES,TEDESCO,JAMES TEDESCO,James Tedesco
DANIEL TUPOU,,37.9,0,37.9,,37.9,DANIEL,TUPOU,DANIEL TUPOU,Daniel Tupou
billy smith,,35.6,0,35.6,,35.6,billy,smith,billy smith,Billy Smith
robert toia,,37.1,0,37.1,,37.1,robert,toia,robert toia,Robert Toia
Mark Nawaqanitawase,,41.9,0,41.9,,41.9,Mark,Nawaqanitawase,Mark Nawaqanitawase,Mark Nawaqanitawase
hugo savala,,37.9,0,37.9,,37.9,hugo,savala,hugo savala,hugo savala
sam walker RD19,$573 ,40.3,42,-1.8,,40.3,sam,walker,sam walker,sam walker
SPENCER LENIU,,34.4,0,34.4,,34.4,SPENCER,LENIU,SPENCER LENIU,Spencer Leniu
Connor watson,,51.6,0,51.6,,51.6,Connor,watson,Connor watson,Connor Watson
naufahu whyte,,42.8,0,42.8,,42.8,naufahu,whyte,naufahu whyte,Naufahu Whyte
angus crichton,,54.6,0,54.6,,54.6,angus,crichton,angus crichton,Angus Crichton
siua wong rd21/22,$628 ,50.4,46,4.2,,50.4,siua,wong,siua wong,Siua Wong
victor radley RD18??,$552 ,43.6,41,3,??,#VALUE!,victor,radley,victor radley,Victor Radley
LINDSAY COLLINS,,34,0,34,,34,LINDSAY,COLLINS,LINDSAY COLLINS,Lindsay Collins
blake steep,,30.4,0,30.4,,30.4,blake,steep,blake steep,Blake Steep
egan butcher rd18,$408 ,24.4,30,-5.6,??,#VALUE!,egan,butcher,egan butcher,egan butcher
sandon smith,,15,0,15,,15,sandon,smith,sandon smith,Sandon Smith
RYAN PAPENHUYZEN,$626 ,49.4,46,3.3,58,-8.6,RYAN,PAPENHUYZEN,RYAN PAPENHUYZEN,Ryan Papenhuyzen
XAVIER COATES rd17,$508 ,32.4,37,-5,54,-21.6,XAVIER,COATES,XAVIER COATES,Xavier Coates
NICK MEANEY,$460 ,34,34,0.1,55,-21,NICK,MEANEY,NICK MEANEY,Nick Meaney
jack howarth,$412 ,37.9,30,7.6,26,11.9,jack,howarth,jack howarth,Jack Howarth
grant anderson,$468 ,30.8,34,-3.6,27,3.8,grant,anderson,grant anderson,grant anderson
CAM MUNSTER,$638 ,46.6,47,-0.3,61,-14.4,CAM,MUNSTER,CAM MUNSTER,Cameron Munster
JAHROME HUGHES,$594 ,51.4,44,7.7,32,19.4,JAHROME,HUGHES,JAHROME HUGHES,Jahrome Hughes
stefano utoikamanu,$520 ,42.1,38,3.9,36,6.1,stefano,utoikamanu,stefano utoikamanu,Stefano Utoikamanu
HARRY GRANT,$630 ,52.6,46,6.2,38,14.6,HARRY,GRANT,HARRY GRANT,Harry Grant
JOSH KING,$491 ,34.3,36,-1.8,34,0.3,JOSH,KING,JOSH KING,Josh King
SHAWN BLORE,$520 ,46.8,38,8.6,43,3.8,SHAWN,BLORE,SHAWN BLORE,Shawn Blore
ELIESA KATOA,$687 ,53.7,51,3.2,56,-2.3,ELIESA,KATOA,ELIESA KATOA,Eliesa Katoa
trent loiero,$524 ,42.4,39,3.8,55,-12.7,trent,loiero,trent loiero,trent loiero
nelson asofa-solomona,$473 ,28.5,35,-6.3,31,-2.5,nelson,asofa-solomona,nelson asofa-solomona,Nelson Asofa-Solomona
bronson garlick rd17,$401 ,28.9,29,-0.6,20,8.9,bronson,garlick,bronson garlick,bronson garlick
tui kamikamika,$247 ,22.9,18,4.7,19,3.9,tui,kamikamika,tui kamikamika,tui kamikamika
TYRAN WISHART,$334 ,16.2,25,-8.4,10,6.2,TYRAN,WISHART,TYRAN WISHART,Tyran Wishart
JAHREAM BULA,$546 ,37.9,40,-2.2,59,-21.1,JAHREAM,BULA,JAHREAM BULA,Jahream Bula
sunia turuva,$373 ,35.6,27,8.1,32,3.6,sunia,turuva,sunia turuva,Sunia Turuva
Adam Doueihi,$431 ,41.6,32,9.9,21,20.6,Adam,Doueihi,Adam Doueihi,Adam Doueihi
starford toa,$564 ,34,41,-7.5,28,6,starford,toa,starford toa,Starford To'a
jeral skelton,$409 ,35.6,30,5.5,52,-16.5,jeral,skelton,jeral skelton,Jeral Skelton
heath mason,$318 ,30.8,23,7.4,26,4.8,heath,mason,heath mason,heath mason
jarome luai,$484 ,41.1,36,5.5,21,20.1,jarome,luai,jarome luai,Jarome Luai
FONUA POLE,$399 ,36,29,6.7,39,-3,FONUA,POLE,FONUA POLE,Fonua Pole
API KOROISAU,$630 ,40.3,46,-6,48,-7.7,API,KOROISAU,API KOROISAU,Apisai Koroisau
TERRELL MAY,$981 ,70.4,72,-1.8,88,-17.7,TERRELL,MAY,TERRELL MAY,Terrell May
samuela fainu,$411 ,39.8,30,9.6,22,17.8,samuela,fainu,samuela fainu,Samuela Fainu
alex seyfarth,$568 ,39,42,-2.8,58,-19,alex,seyfarth,alex seyfarth,Alex Seyfarth
alex twal,$514 ,42.8,38,5,50,-7.3,alex,twal,alex twal,Alex Twal
jack bird,$312 ,25.4,23,2.5,20,5.4,jack,bird,jack bird,Jack Bird
latu fainu,$298 ,25.2,22,3.3,5,20.2,latu,fainu,latu fainu,latu fainu
SIONE FAINU,$333 ,33.3,24,8.8,14,19.3,SIONE,FAINU,SIONE FAINU,Sione Fainu
tallyn de silva,$230 ,16.1,17,-0.8,84,-67.9,tallyn,de,tallyn de,#N/A
KALYN PONGA,$519 ,47.4,38,9.2,3,44.4,KALYN,PONGA,KALYN PONGA,Kalyn Ponga
GREG MARZHEW rd17,$566 ,45,42,3.4,63,-18,GREG,MARZHEW,GREG MARZHEW,Greg Marzhew
BRADMAN BEST,$604 ,44.2,44,-0.2,39,5.2,BRADMAN,BEST,BRADMAN BEST,Bradman Best
DANE GAGAI,$588 ,49.5,43,6.2,49,0.5,DANE,GAGAI,DANE GAGAI,Dane Gagai
dom young,$469 ,38.7,34,4.2,30,8.7,dom,young,dom young,#N/A
tyson gamble rd19,$481 ,39.5,35,4.1,38,1.5,tyson,gamble,tyson gamble,tyson gamble
fletcher sharpe rd23?,$712 ,51.4,52,-1,62,-10.7,fletcher,sharpe,fletcher sharpe,Fletcher Sharpe
